web-scraper-order,web-scraper-start-url,threads,threads-href,username,text
"1595188658-6646","https://hardforum.com/forums/video-cards.3/","Who's making moves to get ready for the new release of cards?","https://hardforum.com/threads/whos-making-moves-to-get-ready-for-the-new-release-of-cards.1998625/","UltraTaco","Is there anyone here on something other than hi end Pascal or turing?no wonder prices nt going dwn, y'all upgrade everytime nvidia makes something! Literally every other person posting here has either 1080ti or 2080 or 2080ti.



Edit: except snoblikat and Westwood arakis"
"1595188654-6570","https://hardforum.com/forums/video-cards.3/","Are you going for reference Big Navi/RTX 3xxx or waiting for AIB offers?","https://hardforum.com/threads/are-you-going-for-reference-big-navi-rtx-3xxx-or-waiting-for-aib-offers.1997399/","Domingo","If I bite I'll probably just get the reference model. Video card OC'ing has been temperamental and noisy for me, so I'm fine just rolling with the stock one."
"1595188639-6468","https://hardforum.com/forums/video-cards.3/","Cheaper card for 3440x1440? Gtx 1070 or newer ?","https://hardforum.com/threads/cheaper-card-for-3440x1440-gtx-1070-or-newer.1998844/","criccio","I moved from a 1070 because it just wasn't enough for 3440x1440, even with serious graphical sacrifices. The nail in the coffin with Modern Warfare still being unplayable at 50% resolution scaling. Really just depends on the game though. My main title is Destiny 2 and given that's an older game at this point, I had no trouble hitting between 60-90fps which was plenty for me."
"1595188661-6697","https://hardforum.com/forums/video-cards.3/","GPU - diminishing returns reached","https://hardforum.com/threads/gpu-diminishing-returns-reached.1998052/","Joust","kirbyrj said:
			
		
	
	
		
		
			They aren't anywhere near the $699 price of a brand new launch 1080Ti either.
		
		Click to expand...
	
Two points:

1) the 1080ti was probably the best ""deal"" on a new card launch in a long time.

2) the market price of the 1080ti was nuts not long after launch."
"1595188585-5967","https://hardforum.com/forums/video-cards.3/","Same performance at different res. How can this be?","https://hardforum.com/threads/same-performance-at-different-res-how-can-this-be.1997650/","Smoblikat","ibex333 said:
			
		
	
	
		
		
			I am testing Company of Heroes 2 @ 720p(integer scaling) and 1440p.



My setup is an X5470(about on par with i5-2400) and GTX 1650(low profile) 8GB RAM.



I used integer scaling @ 720p because the 1650 is not a 1440p card at all. But performance sucked. 24fps minimum and about 40fps average.



Then I tried 1440p and whoah... Still around 40fps avg, but 30 fps minimum!!! What the hell?



Does this mean my CPU is bottlenecking my GPU? But regardless, shouldnt low res in such a case increase performance anywhay?



And i5-2400 is plenty for CoH2 anyway, no?



Thanks very much.
		
		Click to expand...
	
Sounds like a CPU bottleneck to me, especially since that chip isnt nearly as fast as a second gen I5. It would be more comprable to a Phenom 2 or a C2Q."
"1595188661-6704","https://hardforum.com/forums/video-cards.3/","GPU - diminishing returns reached","https://hardforum.com/threads/gpu-diminishing-returns-reached.1998052/","Stoly","I find it really funny when people invest on a high end card to last for a long time, yet complain when nothing else comes out that makes them want to upgrade. 



OP you did fine, your purchase lasted a whole new generation, now get ready for Ampere/Big Navi."
"1595188601-6106","https://hardforum.com/forums/video-cards.3/","no display from new card","https://hardforum.com/threads/no-display-from-new-card.1998054/","Snakebyt","have reset Cmos, still no change"
"1595188622-6268","https://hardforum.com/forums/video-cards.3/","RGB vs YCbCr444 in Nvidia Control Panel","https://hardforum.com/threads/rgb-vs-ycbcr444-in-nvidia-control-panel.1998222/","GiGaBiTe","You're going to need to be a lot more specific in your question, because it doesn't make any sense as it is.



RGB what? Analog? Digital? What bit depth?



4:4:4 what? YCbCr? YPbPr? YCoCg?"
"1595188661-6695","https://hardforum.com/forums/video-cards.3/","GPU - diminishing returns reached","https://hardforum.com/threads/gpu-diminishing-returns-reached.1998052/","Factum","lopoetve said:
			
		
	
	
		
		
			Alternative suggestion:  Optimization for new hardware takes time too - so they're finding more things that they can do on the 2XXX that they couldn't on the 1XXX, and the 1000-series is already had most of its optimizations.  (Also, the game devs have more time to find tricks/things they can do they couldn't before, and better tuning, etc).  See:  Consoles, early games vs later ones in terms of quality.  Once you figure out tricks to make the hardware do more than it could before, you use those. 



Now I agree Nvidia probably isn't investing time on the 1xxx series cards anymore, but there's more to that story too - multiple actors, if you will.  
		
		Click to expand...
	
Turing changed (once again) how many CUDA cores there are in a SM...but he doesn't care for facts, he is posting lies as an argument...that should give you a hint about the level of fuckery involved"
"1595188656-6620","https://hardforum.com/forums/video-cards.3/","Multi-monitor setup - how to make more stable","https://hardforum.com/threads/multi-monitor-setup-how-to-make-more-stable.1997465/","cybereality","I use sleep all the time on all my computers, it works. I used to have 3 DP monitors, never had a problem. They were all the same model though.



That said, I have heard stories about issues with DP monitors specifically not waking up properly after sleep. Can you use HDMI instead? It might work better.



Also, I think a second GPU might also help. Probably stick with AMD since that is what you have, I think this would let you get 2 monitors on it.



https://www.newegg.com/sapphire-radeon-rx-550-100414p4gl/p/N82E16814202287"
"1595188656-6622","https://hardforum.com/forums/video-cards.3/","Multi-monitor setup - how to make more stable","https://hardforum.com/threads/multi-monitor-setup-how-to-make-more-stable.1997465/","Wat","My first attempt would be to remove the daisy chained monitor and connect direct to pc. Enable your on board graphics if necessary.



Even with monitors from the same manufacturer, I have seen this not work well (hp in my case).



If you have the resources to play around, try an install of win7.  It seems w7 was the last version where microsoft actually gave a crap about pc's."
"1595188627-6301","https://hardforum.com/forums/video-cards.3/","Gpu has exceeded temperature threshold","https://hardforum.com/threads/gpu-has-exceeded-temperature-threshold.1996940/","Furious_Styles","Physically check to see that the fans are working.  If so, download a program like Afterburner and make a custom fan curve and turn the fan speed up to see if that makes a difference.  If not you may need to redo the thermal compound."
"1595188589-6016","https://hardforum.com/forums/video-cards.3/","What is up with the used graphics card price market?","https://hardforum.com/threads/what-is-up-with-the-used-graphics-card-price-market.1996980/","UltraTaco","Well it didn't go through. Guy declined my offer.￼ btw, it was like 9 bucks for shipping too, so almost 60."
"1595188656-6623","https://hardforum.com/forums/video-cards.3/","Multi-monitor setup - how to make more stable","https://hardforum.com/threads/multi-monitor-setup-how-to-make-more-stable.1997465/","kirbyrj","Is there a bios update for your Dell?  Not sure if the Dell update picks up on bios updates or not.  Sometimes it addresses issues like sleep with an update."
"1595188661-6673","https://hardforum.com/forums/video-cards.3/","GPU - diminishing returns reached","https://hardforum.com/threads/gpu-diminishing-returns-reached.1998052/","pippenainteasy","mlcarson said:
			
		
	
	
		
		
			What's happening in the GPU market?   My last purchase was a 1080TI FE back in 3/2017 for $699 back then and I'm not seeing any compelling reason to upgrade.  It looks like the AMD alternative is the RX5700 XT and Nvidia's is the RTX 2080TI.   The AMD might match the 1080TI but still might be a bit behind and the 2080TI can beat it but costs $1200+ for what I consider a modest performance gain.  Are we in  the same type of market that we were with Intel CPU's in the years before Ryzen?   No reason to upgrade until multiple generations of GPU improvements?
		
		Click to expand...
	
Moore's Law died in like 2011. From December 2011-April 2016 we were stuck on 28nm, rather than the typical 2 year node cadence previously. So that was basically 5.5 years stuck on 28nm.



Nvidia is finally dropping a node later this year in 3rd QTR 2020, around a 4.5 year cadence. A little quicker than 28nm, but we were basically stuck for close to 5 years. Sure if felt quicker, because they kept renaming the node from 20nm to 16nm to 12 nm, but in reality the transistor size was actually the same so we were effectively on the same node the entire time."
"1595188637-6446","https://hardforum.com/forums/video-cards.3/","Intel Larrabee - a prototype","https://hardforum.com/threads/intel-larrabee-a-prototype.1948986/","erek","Red Falcon said:
			
		
	
	
		
		
			Around $320, but I wouldn't have pushed it higher than that... going to have to work to pay of this 'surprise' purchase, but for the historical value and preservation alone, I think it was worth it.
		
		Click to expand...
	
i probably could of saved $100 if i wouldn't have advertised it on hardforums"
"1595188637-6427","https://hardforum.com/forums/video-cards.3/","Intel Larrabee - a prototype","https://hardforum.com/threads/intel-larrabee-a-prototype.1948986/","erek","Red Falcon said:
			
		
	
	
		
		
			Nice find... but that card is miiine! 
		
		Click to expand...
	


You're bidding too?  



https://courses.cs.washington.edu/courses/cse591n/08au/Papers/larrabee_manycore.pdf"
