web-scraper-order,web-scraper-start-url,threads,threads-href,username,the_post
"1595262103-7104","https://hardforum.com/forums/amd-flavor.87/","AMD Radeon VII reaches ‘end of life’?","https://hardforum.com/threads/amd-radeon-vii-reaches-end-of-life.1983992/","fightingfi","https://videocardz.com/newz/amd-radeon-vii-reaches-end-of-life"
"1595262075-6896","https://hardforum.com/forums/amd-flavor.87/","AMD speaks RDNA2, RDNA3, Zen3 and Zen4, announces new roadmaps","https://hardforum.com/threads/amd-speaks-rdna2-rdna3-zen3-and-zen4-announces-new-roadmaps.1993782/","Algrim","I welcome AMD's realistic pronouncements as opposed to the skewed optimism of AMD 'of old'. Don't knock them for that."
"1595262053-6782","https://hardforum.com/forums/amd-flavor.87/","Navi RX 5700 to 5700 XT BIOS Flash","https://hardforum.com/threads/navi-rx-5700-to-5700-xt-bios-flash.1986224/","bobzdar","This is the guide I was talking about which is a little different than what wccftech was using I think."
"1595262125-7323","https://hardforum.com/forums/amd-flavor.87/","Radeon Vanguard open beta tester spots.","https://hardforum.com/threads/radeon-vanguard-open-beta-tester-spots.1979559/","THUMPer","*Radeon vanguard open beta tester spots*








	
	
		
		
			From Phaszr

I'm opening up more Vanguard beta tester spots, and am reaching out here on Discord right to the AMD community! Keep in mind I won't be able to accept everyone for various reasons but if you are selected you will get an email or a reply in PM from me.



Step 1: Apply here (if you haven't already): https://www.amd.com/en/technologies/radeon-software-testers



Step 2: When you've done that (or did it before), PM me your GPU(s) and your email.



Step 3: Profit if selected.



Please remember this is an NDA'd program and your involvement requires radio silence externally about our specific activities. You can definitely mention you are in Vanguard of course! We get to play with cool stuff and you have direct access to speak with AMD engineering and marketing through myself and many AMD staff in the discord. I want to stress this is of course volunteer stuff, so don't treat it as some sort of work. I never want it to be that way. If you want to help me help everyone when we post a driver to the web, and get those sweet bug fixes early, apply. Don't like something in the software? Want to make a suggestion or feedback straight into AMD engineering, through myself? Apply. I'm looking for active and friendly members.



We've grown into a tight community with mutual respect for each other. I have zero tolerance for racism, sexism, bullying, etc. You'll be removed. Thanks!
		
		Click to expand...
	
This is open to all AMD GPU users though. We use Discord, and we usually have weekly driver builds for all products, even mobile. There is a dedicated bug reporting channel, which is moderated by AMD, and is a fantastic resource. PM your email address you used to sign up with your GPU model and I will get the info over to the correct place."
"1595262134-7408","https://hardforum.com/forums/amd-flavor.87/","What's the latest on AMD's driver issues for the RX 5600 XT and similar models?","https://hardforum.com/threads/whats-the-latest-on-amds-driver-issues-for-the-rx-5600-xt-and-similar-models.1999082/","MrC4","The only driver issue I had with my 5700XT was after a new driver release, my Rift had ""double vision"" while reading text.  A new driver patch was released within a week that corrected the issue.  Other than that, I have been extremely happy with the performance and stability of my 5700XT."
"1595262103-7114","https://hardforum.com/forums/amd-flavor.87/","AMD Radeon VII reaches ‘end of life’?","https://hardforum.com/threads/amd-radeon-vii-reaches-end-of-life.1983992/","cybereality","Makes sense. It always seemed like a special edition kind of product.



The 5700 XT isn't quite as powerful (especially at 4K) but it comes close enough for the price.



Also, from all we heard they were probably losing money on each VII sold so it makes sense financially."
"1595262077-6939","https://hardforum.com/forums/amd-flavor.87/","AMD might detail new RDNA2 graphics card on March 5","https://hardforum.com/threads/amd-might-detail-new-rdna2-graphics-card-on-march-5.1992421/","noko","Biggest game changer I see is Nvidia DLSS that works now and if Wolfenstein is not some sort of fluke where all the planets aligned for DLSS. Basically 30%-%40% performance  increase for same or better  native resolution quality. Does not stop there, less training required and can potentially be driver driven.



AI making first big splash into games. Combined that with Nvidia Amper generational improvements will be a tall order for AMD. Unless AMD has something brewing to counteract. Took Nvidia years to figure out, with hardware support, Tensor cores. AMD took a back seat for AI hardware designs and software, relied upon traditional hardware and open source software development.



AI has great potential to transform about everything computer, software development,  gaming and I don't see AMD there. As for ray tracing, we may not need it, AI could figure out the lighting way better and faster in the end. Some huge quantum leaps maybe coming for everything dealing with games."
"1595262107-7133","https://hardforum.com/forums/amd-flavor.87/","AMD and Batman: Arkham Knight","https://hardforum.com/threads/amd-and-batman-arkham-knight.1996696/","N4CR","ManofGod said:
			
		
	
	
		
		
			Thanks. Yeah, it is a really strange problem which I am guessing is game specific. Do you think trying to update to 2004 might help? Oh, and I just remembered to disable XBox Game Mode as well. 
		
		Click to expand...
	
I would be trying upgrade and downgrade at this point. No one else with the issues? I can't test it because EGS deleted my Batman freebies for some reason.."
"1595262109-7143","https://hardforum.com/forums/amd-flavor.87/","Considering a 5600 XT","https://hardforum.com/threads/considering-a-5600-xt.1996724/","Ready4Dis","UltraTaco said:
			
		
	
	
		
		
			Why would he be expecting 144hz 4k gaming for a sub $300 card? Even then, are there many cards out there that can game 144hz 4k?
		
		Click to expand...
	
Sorry it wasn't obvious, I was being sarcastic/jokingly saying that.  My point was if he has realistic expectations he wouldn't be disappointed (as in, 4k 144hz is not realistic)."
"1595262114-7242","https://hardforum.com/forums/amd-flavor.87/","Radeon VII Owner's Club!","https://hardforum.com/threads/radeon-vii-owners-club.1977524/","cybereality","I couldn't be more happy with the purchase. This card is awesome for 60Hz 4K gaming (or lower res, higher refresh).



Temps are good. I'm only peaking at 75C on air even with a high overclock (which I'll need to dial down a bit). If you tweak voltage you can probably get lower, I haven't tried."
"1595262132-7400","https://hardforum.com/forums/amd-flavor.87/","[Solved] RX 460 Blown Fuse","https://hardforum.com/threads/solved-rx-460-blown-fuse.1992996/","RazorWind","kodaf56 said:
			
		
	
	
		
		
			I removed the dead mosfet from the GPU and started checking for shorts and I found that most of the capacitors on the VRM are shorted.

View attachment 228382
		
		Click to expand...
	
This just means you still have A short somewhere.  How did you determine which MOSFET it was that needed to be removed?



If by shorted, you mean that you have 0 ohms to ground between the positive and negative side of those capacitors, I would try removing the corresponding low side MOSFET on the suspect phase as well.  Failing that, you need to hunt for the short, which is hard to do without pretty sophisticated lab equipment."
"1595262136-7439","https://hardforum.com/forums/amd-flavor.87/","AMD RDNA 2 gets ray tracing","https://hardforum.com/threads/amd-rdna-2-gets-ray-tracing.1994287/","noko","fightingfi said:
			
		
	
	
		
		
			https://videocardz.com/newz/amd-rdna-2-to-support-microsoft-directx-12-ultimate



Awesome no more its nvidia crap to hear
		
		Click to expand...
	
Finally figured out why the demo looked so off and not impressive besides the rather cruddy frame rate. While the demo shows different types of reflections, curved surfaces, flat, uneven, rough etc. None really looked that great compared to typical raytraced images. THE BIGGEST thing I now notice was there is only one level of reflections. Objects that are reflecting, virtually everything, when seen on a reflective surface have no reflection in them -> reflection of a mirror of a mirror in other words would be blank and not showing each other reflections. Obviously in this demo you would have to have virtually infinite number of rays to calculate reflections of reflections (typical raytracing you would see this to a good level), at least 2 levels of reflections would probably have made this demo looked better."
