web-scraper-order,web-scraper-start-url,thread_link,thread_link-href,username,text
"1595187804-4923","https://hardforum.com/forums/intel-processors.5/","No excitement about intel's latest offering??","https://hardforum.com/threads/no-excitement-about-intels-latest-offering.1996595/","atp1916","Ready4Dis said:
			
		
	
	
		
		
			Yeah, you'll be borderline burning up your CPU with that setup if you load it.  And this is why there just isn't much excitement, minimal gains for a large increase in power.  Reminds me of AMD GPUs, lol.
		
		Click to expand...
	
My post above you almost included a R9 290X reference."
"1595187743-4315","https://hardforum.com/forums/intel-processors.5/","Core i3-8100T vs Core i3-8100","https://hardforum.com/threads/core-i3-8100t-vs-core-i3-8100.1958599/","adrhc","30 * 24 = 720 instead of 240



so for month will be 21.6 KW/h which for me value 3.19$ per month."
"1595187789-4733","https://hardforum.com/forums/intel-processors.5/","Buy new i9-9900 (non K) for 220 USD or save and wait for 10900k or 10700k","https://hardforum.com/threads/buy-new-i9-9900-non-k-for-220-usd-or-save-and-wait-for-10900k-or-10700k.1998514/","/dev/null","I'd love to get a 9900 for $220...any links?"
"1595187800-4854","https://hardforum.com/forums/intel-processors.5/","I actually have a 10900k on the way!","https://hardforum.com/threads/i-actually-have-a-10900k-on-the-way.1996645/","drklu","where did you guys buy them ?"
"1595187791-4780","https://hardforum.com/forums/intel-processors.5/","Core i7-860 with P55 chipset 32GB RAM support","https://hardforum.com/threads/core-i7-860-with-p55-chipset-32gb-ram-support.1845468/","DeeVeeDee","I was hopeful, because I have an Intel DQ57TM running with 32GB DDR3 ECC Unbuffered memory (Xeon L3426 CPU). I also have an ASUS P7Q57M-DO and a Biostar TH55HD that both run with 32GB non-ECC RAM (with Xeon CPUs). The Intel DP55WB is the only 1156 board in my limited sample that has a 16GB limit."
"1595187783-4628","https://hardforum.com/forums/intel-processors.5/","Hold out for 10900k, grab 10700, or just go with a discounted 9900K?","https://hardforum.com/threads/hold-out-for-10900k-grab-10700-or-just-go-with-a-discounted-9900k.1997849/","lopoetve","SticKx911 said:
			
		
	
	
		
		
			It's not hard. It's become so mainstream, the hardest part is making up your mind between all the options. Lol. Starting from scratch is expensive, but long term, if money is a concern as it is to me, most parts are transferable. Cpu blocks, pumps, radiators, reservoirs and fittings can be used build after build. I used the same pump for well over 10 years on my main pc.



Gpu blocks are the odd ball. If you are looking top end, it's pricey, and blocks often devalue cards.



You won't get significantly better clocks or temps on the cpu anymore though. A good aio is going to match it. The gpu though will love it, and silent gaming is quite wonderful. 
		
		Click to expand...
	
I’m SO bad at projects like that. Need me to build a data center?  Done. Get rigid piping lined up?  Uh, why is the bathroom in pieces?  That’s what has me worried. And I’d go all out too 



I tend to go with high end AIB GPUs; silent storm idle, only run when gaming or transcoding, etc. and I do the same for case fans and the AIO; low power with a fast ramp. Is a bit annoying on my ryzen; they ramp a bit faster than I want, but it’s not bad."
"1595187796-4829","https://hardforum.com/forums/intel-processors.5/","I finally upgraded from my 3570k / R9 290X / 16gb ddr3","https://hardforum.com/threads/i-finally-upgraded-from-my-3570k-r9-290x-16gb-ddr3.1997829/","Araxie","Evil Scooter said:
			
		
	
	
		
		
			That Hyper 212 series has some legs!! They've been selling that same cooler for how many years now? Think I bought one new at release for my nepheew's C2D setup... it was like $13 out the door. Amazing it's still up to the task. Congrats on the upgrade!
		
		Click to expand...
	
it has been improved a lot over time.. there is a noticeable from the Hyper 212, to hyper 212 plus, to hyper 212 evo, to hyper 212X, and goes on.. it's a nice cooler with a nice size and price."
"1595187728-4146","https://hardforum.com/forums/intel-processors.5/","Intel Plans To Battle AMD Ryzen 4000 In 2020 With Mass of Hyper-Threaded Processors Including 5.3GHz","https://hardforum.com/threads/intel-plans-to-battle-amd-ryzen-4000-in-2020-with-mass-of-hyper-threaded-processors-including-5-3ghz.1991154/","Mega6","kirbyrj said:
			
		
	
	
		
		
			Honestly, the best part of this launch is the product segmentation.  I feel like Intel finally got it right.



Celeron - 2C/2T

Pentium - 2C/4T

i3 - 4C/8T

i5 - 6C/12T

i7 - 8C/16T

i9 - 10C/20T



Unfortunately, it took them 10 generations and a swift kick from the competition to do that.
		
		Click to expand...
	
It really took AMD to get them there - dragging Intel, kicking and screaming the whole way."
"1595187758-4510","https://hardforum.com/forums/intel-processors.5/","10900k can't reach 5.3","https://hardforum.com/threads/10900k-cant-reach-5-3.1997566/","shaolin95","Ready4Dis said:
			
		
	
	
		
		
			Oh... Lol so when AMD said up to everyone freaked out it was 50MHz; why, for Intel would they get a pass?  Both need to be held accountable for what they say.



That said, it was a c state issue, but giving out free passes for one and not another is silly.
		
		Click to expand...
	
Because it ws not the c state issue, and AMD is the one getting passes all the time"
"1595187745-4361","https://hardforum.com/forums/intel-processors.5/","1366 x58 Xeon Enthusiast overclocks club","https://hardforum.com/threads/1366-x58-xeon-enthusiast-overclocks-club.1820772/","Deimos","CrimsonKnight13 said:
			
		
	
	
		
		
			I'll post mine as well (maybe after I have a R9 290 installed). I have my L5639 OC'd to 3.6. Past that I was having issues with RAM clock stability. I'd still love to OC it to 4GHz at least but I'm extra cautious about doing that. No golden parachutes here when I make a mistake with the technology I own.

 

No games have taxed it much, so I'm very happy with having it.

 

By the way... does anyone have recommended OC settings for the ASUS Rampage III Formula with the L5639? I'd like to compare any tips with what I've got running.
		
		Click to expand...
	
What are your current settings? and what is the max multiplier?"
